scenario_half_bps,count,pass_count,pass_ratio,mean_edge_bps,median_edge_bps,min_edge_bps,max_edge_bps,mean_required_half_bps,median_required_half_bps,p75_required_half_bps,p90_required_half_bps
8.0,1386,0,0.0,-13.421962481962556,-13.420000000000002,-13.61,-13.399999999999999,14.71098124098139,14.71,14.715,14.72
10.0,1386,0,0.0,-9.421962481962412,-9.420000000000002,-9.61,-9.399999999999999,14.71098124098139,14.71,14.715,14.72
12.0,1386,0,0.0,-5.421962481962428,-5.420000000000002,-5.609999999999999,-5.399999999999999,14.71098124098139,14.71,14.715,14.72
14.0,1386,0,0.0,-1.4219624819625114,-1.4200000000000017,-1.6099999999999994,-1.3999999999999986,14.71098124098139,14.71,14.715,14.72
15.0,1386,1386,1.0,0.5780375180375213,0.5799999999999983,0.39000000000000057,0.6000000000000014,14.71098124098139,14.71,14.715,14.72
16.0,1386,1386,1.0,2.5780375180375446,2.5799999999999983,2.3900000000000006,2.6000000000000014,14.71098124098139,14.71,14.715,14.72
18.0,1386,1386,1.0,6.578037518037582,6.579999999999998,6.390000000000001,6.600000000000001,14.71098124098139,14.71,14.715,14.72
20.0,1386,1386,1.0,10.578037518037588,10.579999999999998,10.39,10.600000000000001,14.71098124098139,14.71,14.715,14.72
