ts,reason,mid_at_trigger,mid_after_1s,ret_1s_bps,mid_after_3s,ret_3s_bps,mid_after_5s,ret_5s_bps,tfi,mid_move_bps,trade_side,trade_px
1776997585.3574376,quote_fade,2323.705,2323.705,0.0,2323.635,-0.3012430579600636,2323.635,-0.3012430579600636,-0.7151467089611419,-6.601469095662618,,
1776997586.1073608,cancel_aggressive,,2323.635,,2323.635,,2323.5550000000003,,-0.7204669260700388,,sell,2323.7
1776997586.364842,cancel_aggressive,,2323.635,,2323.635,,2323.5550000000003,,-0.7204669260700388,,sell,2323.7
1776997586.6071718,cancel_aggressive,,2323.635,,2323.635,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997586.8695314,cancel_aggressive,,2323.635,,2323.635,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997587.109352,cancel_aggressive,,2323.635,,2323.635,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997587.3713992,cancel_aggressive,,2323.635,,2323.635,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997587.6071825,cancel_aggressive,,2323.635,,2323.635,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997587.864001,quote_fade,2323.635,2323.635,0.0,2323.5550000000003,-0.3442881519684771,2323.5550000000003,-0.3442881519684771,-0.7211613103555347,-4.495242355935519,,
1776997588.1085582,cancel_aggressive,,2323.635,,2323.5550000000003,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997588.3804708,cancel_aggressive,,2323.635,,2323.5550000000003,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997588.6077955,quote_fade,2323.635,2323.635,0.0,2323.5550000000003,-0.3442881519684771,2323.5550000000003,-0.3442881519684771,-0.7211613103555347,-14.975592148233321,,
1776997588.8791406,cancel_aggressive,,2323.635,,2323.5550000000003,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997589.1066685,cancel_aggressive,,2323.635,,2323.5550000000003,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997589.3783138,cancel_aggressive,,2323.635,,2323.5550000000003,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997589.6106658,quote_fade,2323.635,2323.635,0.0,2323.5550000000003,-0.3442881519684771,2323.5550000000003,-0.3442881519684771,-0.7211613103555347,-14.35339872581418,,
1776997589.8776314,cancel_aggressive,,2323.5550000000003,,2323.5550000000003,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997590.110268,cancel_aggressive,,2323.5550000000003,,2323.5550000000003,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997590.3752506,cancel_aggressive,,2323.5550000000003,,2323.5550000000003,,2323.5550000000003,,-0.7211613103555347,,sell,2323.63
1776997590.606921,quote_fade,2323.635,2323.5550000000003,-0.3442881519684771,2323.5550000000003,-0.3442881519684771,2323.5550000000003,-0.3442881519684771,-0.7211613103555347,-4.1512518282702,,
1776997590.8594673,quote_fade,2323.635,2323.5550000000003,-0.3442881519684771,2323.5550000000003,-0.3442881519684771,2323.5550000000003,-0.3442881519684771,-0.7211613103555347,-6.451238315194601,,
1776997591.107758,cancel_aggressive,,2323.5550000000003,,2323.5550000000003,,2323.685,,0.8439955106621773,,sell,2323.63
1776997591.374091,cancel_aggressive,,2323.5550000000003,,2323.5550000000003,,2323.8450000000003,,0.8439955106621773,,sell,2323.63
1776997591.6072052,cancel_aggressive,,2323.5550000000003,,2323.5550000000003,,2323.8450000000003,,0.8439955106621773,,sell,2323.63
1776997591.871743,cancel_aggressive,,2323.5550000000003,,2323.5550000000003,,2323.8450000000003,,0.9939320388349514,,sell,2323.55
1776997592.1067874,quote_fade,2323.5550000000003,2323.5550000000003,0.0,2323.5550000000003,0.0,2323.8450000000003,1.2480875210613203,0.9939320388349514,-10.898116581902912,,
1776997592.3700476,quote_fade,2323.5550000000003,2323.5550000000003,0.0,2323.5550000000003,0.0,2323.8450000000003,1.2480875210613203,0.9735735735735737,10.555317402705729,,
1776997592.6285653,cancel_aggressive,,2323.5550000000003,,2323.5550000000003,,2323.795,,0.9735735735735737,,sell,2323.55
1776997592.887389,cancel_aggressive,,2323.5550000000003,,2323.5550000000003,,2323.795,,0.9735735735735737,,sell,2323.55
1776997593.1511805,cancel_aggressive,,2323.5550000000003,,2323.685,,2323.795,,0.9735735735735737,,sell,2323.55
1776997593.3965065,cancel_aggressive,,2323.5550000000003,,2323.8450000000003,,2323.795,,0.9735735735735737,,sell,2323.55
1776997593.6601567,cancel_aggressive,,2323.5550000000003,,2323.8450000000003,,2323.795,,0.9735735735735737,,sell,2323.55
1776997593.9072356,cancel_aggressive,,2323.5550000000003,,2323.8450000000003,,2323.795,,0.8649262202043132,,sell,2323.55
1776997594.164042,cancel_aggressive,,2323.5550000000003,,2323.8450000000003,,2306.855,,0.865079365079365,,buy,2323.56
1776997594.4073665,cancel_aggressive,,2323.5550000000003,,2323.8450000000003,,2306.855,,0.865079365079365,,buy,2323.56
1776997594.6624494,cancel_aggressive,,2323.5550000000003,,2323.795,,2306.855,,0.8662169758291175,,buy,2323.56
1776997594.9082787,quote_fade,2323.5550000000003,2323.685,0.5594875094398643,2323.795,1.0329000174292482,2306.855,-71.87262621285173,0.8662169758291175,12.798496930731925,,
1776997595.161696,cancel_aggressive,,2323.8450000000003,,2323.795,,2306.855,,0.8662169758291175,,buy,2323.56
1776997595.407558,cancel_aggressive,,2323.8450000000003,,2323.795,,2306.855,,0.8662169758291175,,buy,2323.56
1776997595.6600738,cancel_aggressive,,2323.8450000000003,,2323.795,,2306.855,,0.8662169758291175,,buy,2323.56
1776997595.9076445,cancel_aggressive,,2323.8450000000003,,2323.795,,2306.855,,0.9228274967574578,,buy,2323.56
1776997596.15788,cancel_aggressive,,2323.8450000000003,,2306.855,,2306.855,,0.9228274967574578,,buy,2323.56
1776997596.4144154,cancel_aggressive,,2323.8450000000003,,2306.855,,2306.855,,0.84,,buy,2323.83
1776997596.671103,cancel_aggressive,,2323.795,,2306.855,,2306.855,,0.84,,buy,2323.83
1776997596.936753,cancel_aggressive,,2323.795,,2306.855,,2306.855,,0.84,,buy,2323.83
1776997597.2025857,cancel_aggressive,,2323.795,,2306.855,,2306.855,,0.84,,buy,2323.83
1776997597.4667017,cancel_aggressive,,2323.795,,2306.855,,2306.855,,0.84,,buy,2323.83
1776997597.7087255,cancel_aggressive,,2323.795,,2306.855,,2306.855,,0.8579387186629527,,sell,2323.84
1776997597.9649193,quote_fade,2323.795,2323.795,0.0,2306.855,-72.89799659608552,2306.855,-72.89799659608552,0.8579387186629527,-3.6349714364385646,,
1776997598.2070866,cancel_aggressive,,2306.855,,2306.855,,2306.855,,0.8579387186629527,,sell,2323.84
1776997598.464494,cancel_aggressive,,2306.855,,2306.855,,2306.855,,0.8579387186629527,,sell,2323.84
1776997598.7169256,cancel_aggressive,,2306.855,,2306.855,,2306.855,,0.8579387186629527,,sell,2323.84
1776997598.980026,cancel_aggressive,,2306.855,,2306.855,,2306.855,,0.9957246686618212,,buy,2323.8
1777003449.1121657,quote_fade,2306.855,2306.725,-0.563537803633558,2306.895,0.17339624727156072,2306.895,0.17339624727156072,0.9931690656257623,-4.311372056244321,,
1777003449.3652942,quote_fade,2306.855,2306.725,-0.563537803633558,2306.895,0.17339624727156072,2306.895,0.17339624727156072,0.9931690656257623,13.456292010217705,,
1777003449.8964071,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.9897710667316122,,sell,2306.72
1777003450.1609304,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.9897710667316122,,sell,2306.72
1777003450.3902032,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7653227364296157,,buy,2306.73
1777003450.6640885,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7654514893499762,,buy,2306.81
1777003450.8983524,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7654514893499762,,buy,2306.81
1777003451.16022,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7654514893499762,,buy,2306.81
1777003451.4006855,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7654514893499762,,buy,2306.81
1777003451.6580467,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.895,0.0,0.7654514893499762,9.350295478015743,,
1777003451.899243,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7654514893499762,,buy,2306.81
1777003452.1560996,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7653055601476824,,sell,2306.89
1777003452.3904948,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7653055601476824,,sell,2306.89
1777003452.6696627,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.895,0.0,0.7653055601476824,-4.246330498835587,,
1777003452.9352517,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7653055601476824,,sell,2306.89
1777003453.2024622,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7653055601476824,,sell,2306.89
1777003453.4372318,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7324201196268629,,sell,2306.89
1777003453.7037723,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7309716975289523,,sell,2306.89
1777003453.9701104,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7309716975289523,,sell,2306.89
1777003454.2197213,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7309716975289523,,sell,2306.89
1777003454.4858541,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7309716975289523,,sell,2306.89
1777003454.751031,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7309716975289523,,sell,2306.89
1777003455.0036283,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.895,0.0,0.7312397410882958,8.264677937866109,,
1777003455.2460847,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7312397410882958,,sell,2306.89
1777003455.5027223,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.895,0.0,0.7312397410882958,-5.04752909369758,,
1777003455.7682912,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7312397410882958,,sell,2306.89
1777003456.0330882,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7312397410882958,,sell,2306.89
1777003456.2962427,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7312397410882958,,sell,2306.89
1777003456.563461,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7312397410882958,,sell,2306.89
1777003456.8274934,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7312397410882958,,sell,2306.89
1777003457.0919857,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.895,0.0,0.7312397410882958,-5.285698502890021,,
1777003457.3591526,cancel_aggressive,,2306.895,,2306.895,,2306.895,,0.7312397410882958,,sell,2306.89
1777003457.6227062,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003457.9034488,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003458.1659417,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003458.4025776,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003458.6719413,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003458.9474437,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003459.1970677,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.895,0.0,-1.0,5.725252919554401,,
1777003459.454793,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003459.698405,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003459.9624004,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.895,0.0,-1.0,12.69547780569941,,
1777003460.1983204,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.895,0.0,-1.0,12.69547780569941,,
1777003460.4467702,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003460.6981804,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003460.945039,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003461.2037249,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003461.4731674,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003461.7227302,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.895,0.0,-1.0,-5.93519374941935,,
1777003461.9731514,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003462.2384493,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003462.5018086,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003462.7521589,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003462.987274,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003463.2502365,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003463.4994051,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003463.7542796,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003463.9983318,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003464.2717469,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003464.5392494,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003464.7883043,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003465.0434813,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003465.2999396,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003465.559149,cancel_aggressive,,2306.895,,2306.895,,2306.895,,-1.0,,sell,2306.89
1777003465.820836,cancel_aggressive,,2306.895,,2306.895,,2306.455,,-1.0,,sell,2306.89
1777003466.0826893,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.385,-2.2107638188984047,-1.0,-4.960919221503881,,
1777003466.3257375,cancel_aggressive,,2306.895,,2306.895,,2306.385,,-1.0,,sell,2306.89
1777003466.5804682,cancel_aggressive,,2306.895,,2306.895,,2306.385,,-1.0,,sell,2306.89
1777003466.8265076,quote_fade,2306.895,2306.895,0.0,2306.895,0.0,2306.385,-2.2107638188984047,-1.0,-5.632106472805492,,
1777003467.0960937,cancel_aggressive,,2306.895,,2306.895,,2306.385,,-1.0,,sell,2306.89
1777003467.3603318,cancel_aggressive,,2306.895,,2306.895,,2306.125,,-1.0,,sell,2306.89
1777003467.6292093,cancel_aggressive,,2306.895,,2306.895,,2306.125,,-1.0,,sell,2306.89
1777003467.893281,cancel_aggressive,,2306.895,,2306.455,,2306.125,,-1.0,,sell,2306.89
