group_type,reason,trade_side,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps
reason,cancel_aggressive,,ret_1s_bps,6753,1328,948,4477,0.19665333925662667,0.14038205242114615,0.6629646083222271,0.11062947322972223
reason,cancel_aggressive,,ret_3s_bps,6753,2281,1814,2658,0.33777580334666074,0.26862135347253074,0.3936028431808085,0.10303216171404617
reason,cancel_aggressive,,ret_5s_bps,6753,2714,2298,1741,0.40189545387235304,0.3402932030208796,0.25781134310676734,0.12628035026421622
reason_trade_side,cancel_aggressive,buy,ret_1s_bps,3175,640,469,2066,0.2015748031496063,0.14771653543307087,0.6507086614173229,0.15905427468659783
reason_trade_side,cancel_aggressive,buy,ret_3s_bps,3175,1075,888,1212,0.33858267716535434,0.2796850393700787,0.38173228346456695,0.1946335091040847
reason_trade_side,cancel_aggressive,buy,ret_5s_bps,3175,1267,1156,752,0.3990551181102362,0.3640944881889764,0.2368503937007874,0.23527858492787776
reason_trade_side,cancel_aggressive,sell,ret_1s_bps,3578,688,479,2411,0.19228619340413639,0.13387367244270543,0.6738401341531582,0.06461138855476505
reason_trade_side,cancel_aggressive,sell,ret_3s_bps,3578,1206,926,1446,0.3370598099496926,0.2588038010061487,0.4041363890441588,0.01869189673907165
reason_trade_side,cancel_aggressive,sell,ret_5s_bps,3578,1447,1142,989,0.4044158747903857,0.31917272219116827,0.2764114030184461,0.02427080117574504
reason,quote_fade,,ret_1s_bps,1655,229,161,1265,0.13836858006042296,0.09728096676737161,0.7643504531722054,0.24657270614410573
reason,quote_fade,,ret_3s_bps,1655,467,358,830,0.2821752265861027,0.2163141993957704,0.5015105740181269,0.33113676183309326
reason,quote_fade,,ret_5s_bps,1655,593,483,579,0.3583081570996979,0.2918429003021148,0.34984894259818733,0.19893551229969605
reason_trade_side,quote_fade,,ret_1s_bps,1655,229,161,1265,0.13836858006042296,0.09728096676737161,0.7643504531722054,0.24657270614410573
reason_trade_side,quote_fade,,ret_3s_bps,1655,467,358,830,0.2821752265861027,0.2163141993957704,0.5015105740181269,0.33113676183309326
reason_trade_side,quote_fade,,ret_5s_bps,1655,593,483,579,0.3583081570996979,0.2918429003021148,0.34984894259818733,0.19893551229969605
