ts,reason,cancel_aggressive_policy,policy_enabled,trade_side,trade_px,mid_at_trigger,bid_px,ask_px,spread_bps,tfi,last_quote_fade_age_ms,ret_1s_bps,ret_3s_bps,ret_5s_bps,directional_ret_1s_bps,directional_ret_3s_bps,directional_ret_5s_bps,suppression_result_1s,suppression_result_3s,suppression_result_5s
1777012569.2371469,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2309.35,2309.2650000000003,2309.26,2309.27,0.04330382177776708,0.41567912488605296,,0.0,0.3464305742300136,0.3464305742300136,0.0,0.3464305742300136,0.3464305742300136,neutral,unsafe_suppression,unsafe_suppression
1777012571.81903,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2309.27,2309.3450000000003,2309.34,2309.35,0.0433023216529515,0.3636001592990841,1011.0287666320801,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777012572.072258,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2309.27,2309.3450000000003,2309.34,2309.35,0.0433023216529515,0.3636001592990841,1264.2567157745361,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777012572.3141446,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2309.27,2309.3450000000003,2309.34,2309.35,0.0433023216529515,0.3636001592990841,1506.14333152771,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777012572.5707943,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,buy,2309.35,2309.3450000000003,2309.34,2309.35,0.0433023216529515,0.36385350318471354,1762.7930641174316,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral
1777012572.8360963,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2309.34,2309.3450000000003,2309.34,2309.35,0.0433023216529515,0.3372365339578456,2028.095006942749,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012573.085501,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2309.34,2309.3450000000003,2309.34,2309.35,0.0433023216529515,0.3372365339578456,2277.4996757507324,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012573.3501847,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2309.34,2309.3450000000003,2309.34,2309.35,0.0433023216529515,0.3341121495327104,2542.1833992004395,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012577.7301173,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2309.34,2309.3450000000003,2309.34,2309.35,0.0433023216529515,-0.0555555555555556,1058.7358474731445,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012577.9966428,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2309.34,2309.3450000000003,2309.34,2309.35,0.0433023216529515,-0.0555555555555556,1325.2613544464111,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012578.2609212,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2309.34,2309.3450000000003,2309.34,2309.35,0.0433023216529515,-0.0555555555555556,1589.5397663116455,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012581.3960662,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2309.34,2309.3450000000003,2309.34,2309.35,0.0433023216529515,-0.0555555555555556,1048.3450889587402,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012581.641427,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2309.34,2309.3450000000003,2309.34,2309.35,0.0433023216529515,-0.0555555555555556,1293.705940246582,0.0,0.0,-1.9053021527771263,-0.0,-0.0,1.9053021527771263,neutral,neutral,unsafe_suppression
1777012587.4708855,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.86,2308.865,2308.86,2308.87,0.04331132396118237,-0.26530612244897966,1016.1342620849609,0.0,0.0,-0.3031792677341853,-0.0,-0.0,0.3031792677341853,neutral,neutral,unsafe_suppression
1777012593.9773207,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,1505.0806999206543,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012594.229242,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,1757.0021152496338,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012594.4944417,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,2022.2017765045166,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012594.7569747,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,2284.7347259521484,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012595.0115962,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,2539.356231689453,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012595.2844155,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,2812.175512313843,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012595.5493162,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,3077.076196670532,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012595.8070073,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,3334.7673416137695,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012596.0830016,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,3610.7616424560547,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012597.3409092,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,1029.632329940796,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012597.598229,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,1286.952018737793,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012597.8627143,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,1551.4373779296875,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012599.4079103,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,1030.2743911743164,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012599.644407,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,0.4871794871794872,1266.7710781097412,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
1777012608.892454,cancel_aggressive_suppressed,overlap_or_strong_tfi,False,sell,2308.79,2308.795,2308.79,2308.8,0.04331263711251228,-0.43243243243243246,1029.0441513061523,0.0,0.0,0.0,-0.0,-0.0,-0.0,neutral,neutral,neutral
