ts,leg,side,price,qty,mid_perp,micro_price,bid_px,ask_px,spread_bps,tfi,obi,base_half_spread_bps,min_half_spread_bps,one_sided_quote_policy,cancel_aggressive_policy,quote_distance_from_mid_bps,quote_distance_from_micro_bps,quote_distance_from_best_bps,aggressive_vs_best,directional_alignment,quote_lifetime_sec,end_reason,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
1777017777.356769,bid,buy,2302.84,0.21,2310.275,2310.278426834759,2310.44,2310.45,0.04328170547129896,-1.0,0.9038303468683215,15.0,15.0,current,current,32.182315958056705,32.19710121671402,32.89416734474779,passive_inside_book,against_flow,0.24472284317016602,tfi_fade,0,0,1
1777017777.3577561,ask,sell,2313.23,0.25,2310.275,2310.278426834759,2310.44,2310.45,0.04328170547129896,-1.0,0.9038303468683215,15.0,15.0,current,current,12.790685091601333,12.775833124515536,12.032288082409057,passive_inside_book,with_flow,0.24373579025268555,tfi_fade,0,0,1
1777017777.6034918,bid,buy,2302.81,0.21,2310.275,2310.278427118034,2310.44,2310.45,0.04328170547129896,-1.0,0.7538742023701003,15.0,15.0,current,current,32.3121706290383,32.326956917268774,33.02401274216214,passive_inside_book,against_flow,0.24950098991394043,tfi_fade,0,0,1
1777017777.6034918,ask,sell,2313.2000000000003,0.25,2310.275,2310.278427118034,2310.44,2310.45,0.04328170547129896,-1.0,0.7538742023701003,15.0,15.0,current,current,12.660830420621709,12.64597741844839,11.902443246988488,passive_inside_book,with_flow,0.24950098991394043,tfi_fade,0,0,1
1777017777.8554993,bid,buy,2302.82,0.21,2310.275,2310.27873010104,2310.44,2310.45,0.04328170547129896,-1.0,0.7913694721825961,15.0,15.0,current,current,32.268885738710445,32.284979313788185,32.98073094302337,passive_inside_book,against_flow,0.24454188346862793,cancel_aggressive,1,0,0
1777017777.8554993,ask,sell,2313.21,0.25,2310.275,2310.27873010104,2310.44,2310.45,0.04328170547129896,-1.0,0.7913694721825961,15.0,15.0,current,current,12.704115310947595,12.687949123922301,11.945724858794687,passive_inside_book,with_flow,0.24454188346862793,cancel_aggressive,1,0,0
1777017992.0071201,bid,buy,2303.88,0.21,2307.9049999999997,2307.900034882031,2307.9,2307.91,0.04332933981148935,-0.3084370677731673,-0.9970766339528085,15.0,15.0,current,current,17.44005927453529,17.41858321968568,17.418432341089222,passive_inside_book,neutral,0.2499082088470459,cancel_aggressive,1,0,0
1777017992.0071201,ask,sell,2310.8,0.25,2307.9049999999997,2307.900034882031,2307.9,2307.91,0.04332933981148935,-0.3084370677731673,-0.9970766339528085,15.0,15.0,current,current,12.543843875724681,12.565384436668168,12.522152076988823,passive_inside_book,neutral,0.2499082088470459,cancel_aggressive,1,0,0
1777018051.768666,bid,buy,2304.27,0.21,2307.625,2307.6299258211825,2308.31,2308.32,0.04332164371075125,0.7536394176931689,0.8257546970656534,15.0,15.0,current,current,14.538757380423675,14.560072148426775,17.501981969492675,passive_inside_book,with_flow,0.23416638374328613,cancel_aggressive,1,0,0
1777018051.768666,ask,sell,2314.65,0.26,2307.625,2307.6299258211825,2308.31,2308.32,0.04332164371075125,0.7536394176931689,0.8257546970656534,15.0,15.0,current,current,30.44255457450882,30.42114379028719,27.422541068828963,passive_inside_book,against_flow,0.23416638374328613,cancel_aggressive,1,0,0
1777018065.989623,bid,buy,2305.84,0.21,2309.5950000000003,2309.590626902009,2309.16,2309.17,0.043305697081924756,0.8253867344776437,-0.957807791048108,15.0,15.0,current,current,16.25826172987086,16.239357998432826,14.377522562315775,passive_inside_book,with_flow,0.24599409103393555,tfi_fade,0,0,1
1777018065.989623,ask,sell,2316.23,0.25,2309.5950000000003,2309.590626902009,2309.16,2309.17,0.043305697081924756,0.8253867344776437,-0.957807791048108,15.0,15.0,current,current,28.72798044678726,28.746969357496035,30.573755938280616,passive_inside_book,against_flow,0.24599409103393555,tfi_fade,0,0,1
