policy,leg,quote_count,allowed_count,suppressed_count,allowed_ratio,suppressed_ratio,mean_lifetime_all,median_lifetime_all,mean_lifetime_allowed,median_lifetime_allowed,cancel_aggressive_end_all,cancel_aggressive_end_allowed,quote_fade_end_all,quote_fade_end_allowed,tfi_fade_end_all,tfi_fade_end_allowed,mean_tfi_abs_allowed,median_tfi_abs_allowed,mean_cancel_density_allowed,median_cancel_density_allowed,mean_guard_count_allowed,median_guard_count_allowed
A_current,bid,22,22,0,1.0,0.0,0.2999470884149725,0.25673937797546387,0.2999470884149725,0.25673937797546387,21,21,1,1,0,0,0.537192870292582,0.5467387915292757,3.5090909090909084,3.6,19.136363636363637,19.0
A_current,ask,22,22,0,1.0,0.0,0.29951202869415283,0.2562398910522461,0.29951202869415283,0.2562398910522461,21,21,1,1,0,0,0.537192870292582,0.5467387915292757,3.5090909090909084,3.6,19.136363636363637,19.0
A_current,all,44,44,0,1.0,0.0,0.2997295585545627,0.25673937797546387,0.2997295585545627,0.25673937797546387,42,42,2,2,0,0,0.537192870292582,0.5467387915292757,3.509090909090908,3.6,19.136363636363637,19.0
B_one_sided_tfi_0p7,bid,22,21,1,0.9545454545454546,0.045454545454545456,0.2999470884149725,0.25673937797546387,0.30176388649713426,0.2555234432220459,21,20,1,1,0,0,0.5206452258099451,0.5196977873718299,3.5142857142857133,3.6,19.095238095238095,19.0
B_one_sided_tfi_0p7,ask,22,15,7,0.6818181818181818,0.3181818181818182,0.29951202869415283,0.2562398910522461,0.32330363591512046,0.25906968116760254,21,14,1,1,0,0,0.3727623977386758,0.40263954997836404,3.5200000000000005,3.6,18.733333333333334,19.0
B_one_sided_tfi_0p7,all,44,36,8,0.8181818181818182,0.18181818181818182,0.2997295585545627,0.25673937797546387,0.31073878208796185,0.25795531272888184,42,34,2,2,0,0,0.45902738078024957,0.485173002298371,3.5166666666666653,3.6,18.944444444444443,19.0
C_market_tfi_abs_lte_0p6,bid,22,13,9,0.5909090909090909,0.4090909090909091,0.2999470884149725,0.25673937797546387,0.3332214538867657,0.25795531272888184,21,12,1,1,0,0,0.3096961359353082,0.2021498954911912,3.5230769230769234,3.6,18.53846153846154,19.0
C_market_tfi_abs_lte_0p6,ask,22,13,9,0.5909090909090909,0.4090909090909091,0.29951202869415283,0.2562398910522461,0.3327930707197923,0.25795531272888184,21,12,1,1,0,0,0.3096961359353082,0.2021498954911912,3.5230769230769234,3.6,18.53846153846154,19.0
C_market_tfi_abs_lte_0p6,all,44,26,18,0.5909090909090909,0.4090909090909091,0.2997295585545627,0.25673937797546387,0.333007262303279,0.25795531272888184,42,24,2,2,0,0,0.30969613593530815,0.2021498954911912,3.523076923076921,3.6,18.53846153846154,19.0
D_one_sided_0p7_plus_tfi_abs_lte_0p6,bid,22,13,9,0.5909090909090909,0.4090909090909091,0.2999470884149725,0.25673937797546387,0.3332214538867657,0.25795531272888184,21,12,1,1,0,0,0.3096961359353082,0.2021498954911912,3.5230769230769234,3.6,18.53846153846154,19.0
D_one_sided_0p7_plus_tfi_abs_lte_0p6,ask,22,13,9,0.5909090909090909,0.4090909090909091,0.29951202869415283,0.2562398910522461,0.3327930707197923,0.25795531272888184,21,12,1,1,0,0,0.3096961359353082,0.2021498954911912,3.5230769230769234,3.6,18.53846153846154,19.0
D_one_sided_0p7_plus_tfi_abs_lte_0p6,all,44,26,18,0.5909090909090909,0.4090909090909091,0.2997295585545627,0.25673937797546387,0.333007262303279,0.25795531272888184,42,24,2,2,0,0,0.30969613593530815,0.2021498954911912,3.523076923076921,3.6,18.53846153846154,19.0
E_one_sided_0p7_plus_cancel_density_lte_2p0,bid,22,0,22,0.0,1.0,0.2999470884149725,0.25673937797546387,,,21,0,1,0,0,0,,,,,,
E_one_sided_0p7_plus_cancel_density_lte_2p0,ask,22,0,22,0.0,1.0,0.29951202869415283,0.2562398910522461,,,21,0,1,0,0,0,,,,,,
E_one_sided_0p7_plus_cancel_density_lte_2p0,all,44,0,44,0.0,1.0,0.2997295585545627,0.25673937797546387,,,42,0,2,0,0,0,,,,,,
F_one_sided_0p7_plus_guard_count_lte_5,bid,22,0,22,0.0,1.0,0.2999470884149725,0.25673937797546387,,,21,0,1,0,0,0,,,,,,
F_one_sided_0p7_plus_guard_count_lte_5,ask,22,0,22,0.0,1.0,0.29951202869415283,0.2562398910522461,,,21,0,1,0,0,0,,,,,,
F_one_sided_0p7_plus_guard_count_lte_5,all,44,0,44,0.0,1.0,0.2997295585545627,0.25673937797546387,,,42,0,2,0,0,0,,,,,,
G_one_sided_0p7_plus_tfi_abs_lte_0p6_or_cancel_density_lte_2p0,bid,22,13,9,0.5909090909090909,0.4090909090909091,0.2999470884149725,0.25673937797546387,0.3332214538867657,0.25795531272888184,21,12,1,1,0,0,0.3096961359353082,0.2021498954911912,3.5230769230769234,3.6,18.53846153846154,19.0
G_one_sided_0p7_plus_tfi_abs_lte_0p6_or_cancel_density_lte_2p0,ask,22,13,9,0.5909090909090909,0.4090909090909091,0.29951202869415283,0.2562398910522461,0.3327930707197923,0.25795531272888184,21,12,1,1,0,0,0.3096961359353082,0.2021498954911912,3.5230769230769234,3.6,18.53846153846154,19.0
G_one_sided_0p7_plus_tfi_abs_lte_0p6_or_cancel_density_lte_2p0,all,44,26,18,0.5909090909090909,0.4090909090909091,0.2997295585545627,0.25673937797546387,0.333007262303279,0.25795531272888184,42,24,2,2,0,0,0.30969613593530815,0.2021498954911912,3.523076923076921,3.6,18.53846153846154,19.0
