ts,reason,mid,mid_prev,mid_move_bps,tfi,bid_px,ask_px,spread_bps,trade_px,trade_side
1776997585.3574376,quote_fade,2323.705,2325.24,-6.601469095662618,-0.7151467089611419,,,,,
1776997586.1073608,cancel_aggressive,,,,-0.7204669260700388,,,,2323.7,sell
1776997586.364842,cancel_aggressive,,,,-0.7204669260700388,,,,2323.7,sell
1776997586.6071718,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997586.8695314,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997587.109352,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997587.3713992,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997587.6071825,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997587.864001,quote_fade,2323.635,2324.68,-4.495242355935519,-0.7211613103555347,,,,,
1776997588.1085582,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997588.3804708,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997588.6077955,quote_fade,2323.635,2327.12,-14.975592148233321,-0.7211613103555347,,,,,
1776997588.8791406,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997589.1066685,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997589.3783138,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997589.6106658,quote_fade,2323.635,2326.9750000000004,-14.35339872581418,-0.7211613103555347,,,,,
1776997589.8776314,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997590.110268,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997590.3752506,cancel_aggressive,,,,-0.7211613103555347,,,,2323.63,sell
1776997590.606921,quote_fade,2323.635,2324.6,-4.1512518282702,-0.7211613103555347,,,,,
1776997590.8594673,quote_fade,2323.635,2325.135,-6.451238315194601,-0.7211613103555347,,,,,
1776997591.107758,cancel_aggressive,,,,0.8439955106621773,,,,2323.63,sell
1776997591.374091,cancel_aggressive,,,,0.8439955106621773,,,,2323.63,sell
1776997591.6072052,cancel_aggressive,,,,0.8439955106621773,,,,2323.63,sell
1776997591.871743,cancel_aggressive,,,,0.9939320388349514,,,,2323.55,sell
1776997592.1067874,quote_fade,2323.5550000000003,2326.09,-10.898116581902912,0.9939320388349514,,,,,
1776997592.3700476,quote_fade,2323.5550000000003,2321.1049999999996,10.555317402705729,0.9735735735735737,,,,,
1776997592.6285653,cancel_aggressive,,,,0.9735735735735737,,,,2323.55,sell
1776997592.887389,cancel_aggressive,,,,0.9735735735735737,,,,2323.55,sell
1776997593.1511805,cancel_aggressive,,,,0.9735735735735737,,,,2323.55,sell
1776997593.3965065,cancel_aggressive,,,,0.9735735735735737,,,,2323.55,sell
1776997593.6601567,cancel_aggressive,,,,0.9735735735735737,,,,2323.55,sell
1776997593.9072356,cancel_aggressive,,,,0.8649262202043132,,,,2323.55,sell
1776997594.164042,cancel_aggressive,,,,0.865079365079365,,,,2323.56,buy
1776997594.4073665,cancel_aggressive,,,,0.865079365079365,,,,2323.56,buy
1776997594.6624494,cancel_aggressive,,,,0.8662169758291175,,,,2323.56,buy
1776997594.9082787,quote_fade,2323.5550000000003,2320.585,12.798496930731925,0.8662169758291175,,,,,
1776997595.161696,cancel_aggressive,,,,0.8662169758291175,,,,2323.56,buy
1776997595.407558,cancel_aggressive,,,,0.8662169758291175,,,,2323.56,buy
1776997595.6600738,cancel_aggressive,,,,0.8662169758291175,,,,2323.56,buy
1776997595.9076445,cancel_aggressive,,,,0.9228274967574578,,,,2323.56,buy
1776997596.15788,cancel_aggressive,,,,0.9228274967574578,,,,2323.56,buy
1776997596.4144154,cancel_aggressive,,,,0.84,,,,2323.83,buy
1776997596.671103,cancel_aggressive,,,,0.84,,,,2323.83,buy
1776997596.936753,cancel_aggressive,,,,0.84,,,,2323.83,buy
1776997597.2025857,cancel_aggressive,,,,0.84,,,,2323.83,buy
1776997597.4667017,cancel_aggressive,,,,0.84,,,,2323.83,buy
1776997597.7087255,cancel_aggressive,,,,0.8579387186629527,,,,2323.84,sell
1776997597.9649193,quote_fade,2323.795,2324.6400000000003,-3.6349714364385646,0.8579387186629527,,,,,
1776997598.2070866,cancel_aggressive,,,,0.8579387186629527,,,,2323.84,sell
1776997598.464494,cancel_aggressive,,,,0.8579387186629527,,,,2323.84,sell
1776997598.7169256,cancel_aggressive,,,,0.8579387186629527,,,,2323.84,sell
1776997598.980026,cancel_aggressive,,,,0.9957246686618212,,,,2323.8,buy
1777003449.1121657,quote_fade,2306.855,2307.8500000000004,-4.311372056244321,0.9931690656257623,,,,,
1777003449.3652942,quote_fade,2306.855,2303.755,13.456292010217705,0.9931690656257623,,,,,
1777003449.8964071,cancel_aggressive,,,,0.9897710667316122,,,,2306.72,sell
1777003450.1609304,cancel_aggressive,,,,0.9897710667316122,,,,2306.72,sell
1777003450.3902032,cancel_aggressive,,,,0.7653227364296157,,,,2306.73,buy
1777003450.6640885,cancel_aggressive,,,,0.7654514893499762,,,,2306.81,buy
1777003450.8983524,cancel_aggressive,,,,0.7654514893499762,,,,2306.81,buy
1777003451.16022,cancel_aggressive,,,,0.7654514893499762,,,,2306.81,buy
1777003451.4006855,cancel_aggressive,,,,0.7654514893499762,,,,2306.81,buy
1777003451.6580467,quote_fade,2306.895,2304.74,9.350295478015743,0.7654514893499762,,,,,
1777003451.899243,cancel_aggressive,,,,0.7654514893499762,,,,2306.81,buy
1777003452.1560996,cancel_aggressive,,,,0.7653055601476824,,,,2306.89,sell
1777003452.3904948,cancel_aggressive,,,,0.7653055601476824,,,,2306.89,sell
1777003452.6696627,quote_fade,2306.895,2307.875,-4.246330498835587,0.7653055601476824,,,,,
1777003452.9352517,cancel_aggressive,,,,0.7653055601476824,,,,2306.89,sell
1777003453.2024622,cancel_aggressive,,,,0.7653055601476824,,,,2306.89,sell
1777003453.4372318,cancel_aggressive,,,,0.7324201196268629,,,,2306.89,sell
1777003453.7037723,cancel_aggressive,,,,0.7309716975289523,,,,2306.89,sell
1777003453.9701104,cancel_aggressive,,,,0.7309716975289523,,,,2306.89,sell
1777003454.2197213,cancel_aggressive,,,,0.7309716975289523,,,,2306.89,sell
1777003454.4858541,cancel_aggressive,,,,0.7309716975289523,,,,2306.89,sell
1777003454.751031,cancel_aggressive,,,,0.7309716975289523,,,,2306.89,sell
1777003455.0036283,quote_fade,2306.895,2304.99,8.264677937866109,0.7312397410882958,,,,,
1777003455.2460847,cancel_aggressive,,,,0.7312397410882958,,,,2306.89,sell
1777003455.5027223,quote_fade,2306.895,2308.06,-5.04752909369758,0.7312397410882958,,,,,
1777003455.7682912,cancel_aggressive,,,,0.7312397410882958,,,,2306.89,sell
1777003456.0330882,cancel_aggressive,,,,0.7312397410882958,,,,2306.89,sell
1777003456.2962427,cancel_aggressive,,,,0.7312397410882958,,,,2306.89,sell
1777003456.563461,cancel_aggressive,,,,0.7312397410882958,,,,2306.89,sell
1777003456.8274934,cancel_aggressive,,,,0.7312397410882958,,,,2306.89,sell
1777003457.0919857,quote_fade,2306.895,2308.115,-5.285698502890021,0.7312397410882958,,,,,
1777003457.3591526,cancel_aggressive,,,,0.7312397410882958,,,,2306.89,sell
1777003457.6227062,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003457.9034488,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003458.1659417,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003458.4025776,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003458.6719413,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003458.9474437,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003459.1970677,quote_fade,2306.895,2305.575,5.725252919554401,-1.0,,,,,
1777003459.454793,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003459.698405,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003459.9624004,quote_fade,2306.895,2303.9700000000003,12.69547780569941,-1.0,,,,,
1777003460.1983204,quote_fade,2306.895,2303.9700000000003,12.69547780569941,-1.0,,,,,
1777003460.4467702,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003460.6981804,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003460.945039,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003461.2037249,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003461.4731674,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003461.7227302,quote_fade,2306.895,2308.2650000000003,-5.93519374941935,-1.0,,,,,
1777003461.9731514,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003462.2384493,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003462.5018086,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003462.7521589,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003462.987274,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003463.2502365,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003463.4994051,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003463.7542796,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003463.9983318,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003464.2717469,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003464.5392494,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003464.7883043,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003465.0434813,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003465.2999396,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003465.559149,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003465.820836,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003466.0826893,quote_fade,2306.895,2308.04,-4.960919221503881,-1.0,,,,,
1777003466.3257375,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003466.5804682,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003466.8265076,quote_fade,2306.895,2308.1949999999997,-5.632106472805492,-1.0,,,,,
1777003467.0960937,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003467.3603318,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003467.6292093,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003467.893281,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003468.1419065,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003468.3996096,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003468.6551867,quote_fade,2306.895,2308.25,-5.870248023394425,-1.0,,,,,
1777003468.8994904,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003469.1552067,quote_fade,2306.895,2307.67,-3.358365797536437,-1.0,,,,,
1777003469.3994515,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003469.6543105,quote_fade,2306.895,2305.385,6.5498821238090965,-1.0,,,,,
1777003469.904278,cancel_aggressive,,,,-1.0,,,,2306.89,sell
1777003470.168993,cancel_aggressive,,,,0.5446428571428571,,,,2306.9,buy
1777003470.4014814,quote_fade,2306.895,2304.8100000000004,9.0462988272334,0.5446428571428571,,,,,
1777003470.6683648,cancel_aggressive,,,,0.5446428571428571,,,,2306.9,buy
1777003470.9355352,cancel_aggressive,,,,-0.22899505766062567,,,,2306.45,sell
1777003471.2000673,cancel_aggressive,,,,-0.22899505766062567,,,,2306.45,sell
1777003471.4393876,cancel_aggressive,,,,-0.22899505766062567,,,,2306.45,sell
1777003471.6998398,cancel_aggressive,,,,-0.22899505766062567,,,,2306.45,sell
1777003471.942295,cancel_aggressive,,,,-0.22899505766062567,,,,2306.45,sell
1777003472.1982296,cancel_aggressive,,,,-0.18110236220472395,,,,2306.38,sell
1777003472.4642794,cancel_aggressive,,,,-0.18129496402877648,,,,2306.13,buy
1777003472.704854,cancel_aggressive,,,,-0.18129496402877648,,,,2306.13,buy
1777003472.9619842,cancel_aggressive,,,,-0.18129496402877648,,,,2306.13,buy
