group_type,group_value,count,mean_proximity_to_quote_bps,median_proximity_to_quote_bps,p75_proximity_to_quote_bps,p90_proximity_to_quote_bps,mean_proximity_to_best_bps,median_proximity_to_best_bps,duplicate_count,duplicate_ratio,danger_match_count,danger_match_ratio,mean_tfi,median_tfi
overall,all,4125,21.65709290227447,18.77202494719798,24.541614616509953,33.85244677863308,0.07835074988482432,0.0,0,0.0,16,0.6153846153846154,0.06210083695500288,0.13666228646517772
in_quote,False,4099,,,,,0.0782043223565728,0.0,0,0.0,0,,0.06138501152412401,0.13666228646517772
in_quote,True,26,21.65709290227447,18.77202494719798,24.541614616509953,33.85244677863308,0.10143561289647393,0.0,0,0.0,16,0.6153846153846154,0.1749534693077979,0.3126549589149898
quote_leg,None,4099,,,,,0.0782043223565728,0.0,0,0.0,0,,0.06138501152412401,0.13666228646517772
quote_leg,ask,8,23.71662886676569,17.670413659726204,35.29821163646586,36.162795835219,0.1726421466920578,0.0,0,0.0,3,0.375,0.06499284239510245,0.04141640109557476
quote_leg,bid,18,20.74174358472282,18.89791084083888,20.41139944442963,30.820233316491212,0.06978826454288109,0.0,0,0.0,13,0.7222222222222222,0.22382485904677368,0.3126549589149898
trade_side,buy,2076,24.31810858023123,19.61495044923457,33.232317656345145,35.58737731809964,0.08006898750772398,0.0,0,0.0,3,0.375,0.23193171526054845,0.4073007734510533
trade_side,sell,2049,20.47441926762702,18.77202494719798,19.405790360521856,30.820233316491212,0.07660987077055414,0.0,0,0.0,13,0.7222222222222222,-0.10996792993729264,-0.15397631133671727
danger_direction_match,false,10,20.53343781819762,17.596327119566443,20.168891818458327,32.94244282827515,0.15118703366275388,0.0,0,0.0,0,0.0,-0.03438970101290058,-0.49334222067435013
danger_direction_match,true,16,22.3593773298225,19.0364326047494,27.05662541279886,33.00005227077916,0.07034097491754895,0.0,0,0.0,16,1.0,0.3057929507582345,0.5412001454214096
danger_direction_match,unknown,4099,,,,,0.0782043223565728,0.0,0,0.0,0,,0.06138501152412401,0.13666228646517772
duplicate_trade_signal,False,4125,21.65709290227447,18.77202494719798,24.541614616509953,33.85244677863308,0.07835074988482432,0.0,0,0.0,16,0.6153846153846154,0.06210083695500288,0.13666228646517772
overall_metrics,all,4125,,18.77202494719798,24.541614616509953,33.85244677863308,,,0,0.0,16,0.6153846153846154,,
