scenario,quote_ts,leg,price,qty,end_ts,end_reason,quote_lifetime_sec,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
18bps,1777018853.3056107,bid,2315.54,0.21,1777018853.5534058,cancel_aggressive,0.24779510498046875,1,0,0
18bps,1777018853.3056107,ask,2323.88,0.25,1777018853.5534058,cancel_aggressive,0.24779510498046875,1,0,0
18bps,1777018865.8662395,bid,2315.94,0.21,1777018866.103922,cancel_aggressive,0.23768234252929688,1,0,0
18bps,1777018865.8662395,ask,2324.29,0.25,1777018866.103922,cancel_aggressive,0.23768234252929688,1,0,0
18bps,1777018873.6097963,bid,2316.25,0.21,1777018873.8627992,cancel_aggressive,0.2530028820037842,1,0,0
18bps,1777018873.6102986,ask,2324.6,0.25,1777018873.8627992,cancel_aggressive,0.2525005340576172,1,0,0
18bps,1777018885.8733628,bid,2317.9700000000003,0.21,1777018886.1011717,cancel_aggressive,0.22780895233154297,1,0,0
18bps,1777018885.8743663,ask,2330.52,0.25,1777018886.1011717,cancel_aggressive,0.2268054485321045,1,0,0
18bps,1777018903.8984728,bid,2316.34,0.21,1777018904.1627688,cancel_aggressive,0.2642960548400879,1,0,0
18bps,1777018903.899541,ask,2324.69,0.25,1777018904.1627688,cancel_aggressive,0.2632279396057129,1,0,0
18bps,1777018944.6044497,bid,2312.79,0.21,1777018944.8523264,quote_fade,0.24787664413452148,0,1,0
18bps,1777018944.605451,ask,2321.13,0.25,1777018944.8523264,quote_fade,0.24687528610229492,0,1,0
18bps,1777018960.803665,bid,2313.25,0.21,1777018961.0591884,cancel_aggressive,0.2555234432220459,1,0,0
18bps,1777018960.804664,ask,2321.59,0.25,1777018961.0591884,cancel_aggressive,0.25452446937561035,1,0,0
18bps,1777018984.1140232,bid,2312.65,0.21,1777018984.3517318,cancel_aggressive,0.23770856857299805,1,0,0
18bps,1777018984.1140232,ask,2320.9900000000002,0.25,1777018984.3517318,cancel_aggressive,0.23770856857299805,1,0,0
18bps,1777019077.8043017,bid,2309.77,0.21,1777019078.066096,cancel_aggressive,0.2617943286895752,1,0,0
18bps,1777019077.8053005,ask,2322.28,0.25,1777019078.066096,cancel_aggressive,0.26079559326171875,1,0,0
