scenario,policy,quote_ts,leg,tfi_at_quote,would_suppress,suppress_reason,original_end_reason,quote_lifetime_sec,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
15bps,C_tfi_0p7,1777018066.2391245,bid,0.8253867344776437,False,,tfi_fade,0.260361909866333,0,0,1
15bps,D_tfi_0p8,1777018066.2391245,bid,0.8253867344776437,False,,tfi_fade,0.260361909866333,0,0,1
15bps,A_current,1777018066.2391245,ask,0.8253867344776437,False,,tfi_fade,0.260361909866333,0,0,1
15bps,B_tfi_0p6,1777018066.2391245,ask,0.8253867344776437,True,tfi>=0.6,tfi_fade,0.260361909866333,0,0,1
15bps,C_tfi_0p7,1777018066.2391245,ask,0.8253867344776437,True,tfi>=0.7,tfi_fade,0.260361909866333,0,0,1
15bps,D_tfi_0p8,1777018066.2391245,ask,0.8253867344776437,True,tfi>=0.8,tfi_fade,0.260361909866333,0,0,1
15bps,A_current,1777018066.5024848,bid,0.8253867344776437,False,,quote_fade,0.26114821434020996,0,1,0
15bps,B_tfi_0p6,1777018066.5024848,bid,0.8253867344776437,False,,quote_fade,0.26114821434020996,0,1,0
15bps,C_tfi_0p7,1777018066.5024848,bid,0.8253867344776437,False,,quote_fade,0.26114821434020996,0,1,0
15bps,D_tfi_0p8,1777018066.5024848,bid,0.8253867344776437,False,,quote_fade,0.26114821434020996,0,1,0
15bps,A_current,1777018066.5024848,ask,0.8253867344776437,False,,quote_fade,0.26114821434020996,0,1,0
15bps,B_tfi_0p6,1777018066.5024848,ask,0.8253867344776437,True,tfi>=0.6,quote_fade,0.26114821434020996,0,1,0
15bps,C_tfi_0p7,1777018066.5024848,ask,0.8253867344776437,True,tfi>=0.7,quote_fade,0.26114821434020996,0,1,0
15bps,D_tfi_0p8,1777018066.5024848,ask,0.8253867344776437,True,tfi>=0.8,quote_fade,0.26114821434020996,0,1,0
15bps,A_current,1777018067.015624,bid,0.8253867344776437,False,,tfi_fade,0.26117753982543945,0,0,1
15bps,B_tfi_0p6,1777018067.015624,bid,0.8253867344776437,False,,tfi_fade,0.26117753982543945,0,0,1
15bps,C_tfi_0p7,1777018067.015624,bid,0.8253867344776437,False,,tfi_fade,0.26117753982543945,0,0,1
15bps,D_tfi_0p8,1777018067.015624,bid,0.8253867344776437,False,,tfi_fade,0.26117753982543945,0,0,1
15bps,A_current,1777018067.015624,ask,0.8253867344776437,False,,tfi_fade,0.26117753982543945,0,0,1
15bps,B_tfi_0p6,1777018067.015624,ask,0.8253867344776437,True,tfi>=0.6,tfi_fade,0.26117753982543945,0,0,1
15bps,C_tfi_0p7,1777018067.015624,ask,0.8253867344776437,True,tfi>=0.7,tfi_fade,0.26117753982543945,0,0,1
15bps,D_tfi_0p8,1777018067.015624,ask,0.8253867344776437,True,tfi>=0.8,tfi_fade,0.26117753982543945,0,0,1
15bps,A_current,1777018067.2793102,bid,0.8253867344776437,False,,cancel_aggressive,0.26177501678466797,1,0,0
15bps,B_tfi_0p6,1777018067.2793102,bid,0.8253867344776437,False,,cancel_aggressive,0.26177501678466797,1,0,0
15bps,C_tfi_0p7,1777018067.2793102,bid,0.8253867344776437,False,,cancel_aggressive,0.26177501678466797,1,0,0
15bps,D_tfi_0p8,1777018067.2793102,bid,0.8253867344776437,False,,cancel_aggressive,0.26177501678466797,1,0,0
15bps,A_current,1777018067.2793102,ask,0.8253867344776437,False,,cancel_aggressive,0.26177501678466797,1,0,0
15bps,B_tfi_0p6,1777018067.2793102,ask,0.8253867344776437,True,tfi>=0.6,cancel_aggressive,0.26177501678466797,1,0,0
15bps,C_tfi_0p7,1777018067.2793102,ask,0.8253867344776437,True,tfi>=0.7,cancel_aggressive,0.26177501678466797,1,0,0
15bps,D_tfi_0p8,1777018067.2793102,ask,0.8253867344776437,True,tfi>=0.8,cancel_aggressive,0.26177501678466797,1,0,0
15bps,A_current,1777018195.0061872,bid,-0.17231222385861586,False,,cancel_aggressive,0.2495746612548828,1,0,0
15bps,B_tfi_0p6,1777018195.0061872,bid,-0.17231222385861586,False,,cancel_aggressive,0.2495746612548828,1,0,0
15bps,C_tfi_0p7,1777018195.0061872,bid,-0.17231222385861586,False,,cancel_aggressive,0.2495746612548828,1,0,0
15bps,D_tfi_0p8,1777018195.0061872,bid,-0.17231222385861586,False,,cancel_aggressive,0.2495746612548828,1,0,0
15bps,A_current,1777018195.0061872,ask,-0.17231222385861586,False,,cancel_aggressive,0.2495746612548828,1,0,0
15bps,B_tfi_0p6,1777018195.0061872,ask,-0.17231222385861586,False,,cancel_aggressive,0.2495746612548828,1,0,0
15bps,C_tfi_0p7,1777018195.0061872,ask,-0.17231222385861586,False,,cancel_aggressive,0.2495746612548828,1,0,0
15bps,D_tfi_0p8,1777018195.0061872,ask,-0.17231222385861586,False,,cancel_aggressive,0.2495746612548828,1,0,0
15bps,A_current,1777018199.0117416,bid,-0.9483870967741936,False,,cancel_aggressive,0.2520468235015869,1,0,0
15bps,B_tfi_0p6,1777018199.0117416,bid,-0.9483870967741936,True,tfi<=-0.6,cancel_aggressive,0.2520468235015869,1,0,0
15bps,C_tfi_0p7,1777018199.0117416,bid,-0.9483870967741936,True,tfi<=-0.7,cancel_aggressive,0.2520468235015869,1,0,0
15bps,D_tfi_0p8,1777018199.0117416,bid,-0.9483870967741936,True,tfi<=-0.8,cancel_aggressive,0.2520468235015869,1,0,0
15bps,A_current,1777018199.0127413,ask,-0.9483870967741936,False,,cancel_aggressive,0.25104713439941406,1,0,0
15bps,B_tfi_0p6,1777018199.0127413,ask,-0.9483870967741936,False,,cancel_aggressive,0.25104713439941406,1,0,0
15bps,C_tfi_0p7,1777018199.0127413,ask,-0.9483870967741936,False,,cancel_aggressive,0.25104713439941406,1,0,0
15bps,D_tfi_0p8,1777018199.0127413,ask,-0.9483870967741936,False,,cancel_aggressive,0.25104713439941406,1,0,0
15bps,A_current,1777018251.1800282,bid,0.6865671641791042,False,,cancel_aggressive,0.2490828037261963,1,0,0
15bps,B_tfi_0p6,1777018251.1800282,bid,0.6865671641791042,False,,cancel_aggressive,0.2490828037261963,1,0,0
15bps,C_tfi_0p7,1777018251.1800282,bid,0.6865671641791042,False,,cancel_aggressive,0.2490828037261963,1,0,0
15bps,D_tfi_0p8,1777018251.1800282,bid,0.6865671641791042,False,,cancel_aggressive,0.2490828037261963,1,0,0
15bps,A_current,1777018251.1800282,ask,0.6865671641791042,False,,cancel_aggressive,0.2490828037261963,1,0,0
15bps,B_tfi_0p6,1777018251.1800282,ask,0.6865671641791042,True,tfi>=0.6,cancel_aggressive,0.2490828037261963,1,0,0
15bps,C_tfi_0p7,1777018251.1800282,ask,0.6865671641791042,False,,cancel_aggressive,0.2490828037261963,1,0,0
15bps,D_tfi_0p8,1777018251.1800282,ask,0.6865671641791042,False,,cancel_aggressive,0.2490828037261963,1,0,0
15bps,A_current,1777018288.8058763,bid,0.5488215488215488,False,,cancel_aggressive,0.25226902961730957,1,0,0
15bps,B_tfi_0p6,1777018288.8058763,bid,0.5488215488215488,False,,cancel_aggressive,0.25226902961730957,1,0,0
15bps,C_tfi_0p7,1777018288.8058763,bid,0.5488215488215488,False,,cancel_aggressive,0.25226902961730957,1,0,0
15bps,D_tfi_0p8,1777018288.8058763,bid,0.5488215488215488,False,,cancel_aggressive,0.25226902961730957,1,0,0
15bps,A_current,1777018288.8058763,ask,0.5488215488215488,False,,cancel_aggressive,0.25226902961730957,1,0,0
15bps,B_tfi_0p6,1777018288.8058763,ask,0.5488215488215488,False,,cancel_aggressive,0.25226902961730957,1,0,0
15bps,C_tfi_0p7,1777018288.8058763,ask,0.5488215488215488,False,,cancel_aggressive,0.25226902961730957,1,0,0
15bps,D_tfi_0p8,1777018288.8058763,ask,0.5488215488215488,False,,cancel_aggressive,0.25226902961730957,1,0,0
18bps,A_current,1777018572.855171,bid,0.9847890384499307,False,,cancel_aggressive,0.2462306022644043,1,0,0
18bps,B_tfi_0p6,1777018572.855171,bid,0.9847890384499307,False,,cancel_aggressive,0.2462306022644043,1,0,0
18bps,C_tfi_0p7,1777018572.855171,bid,0.9847890384499307,False,,cancel_aggressive,0.2462306022644043,1,0,0
18bps,D_tfi_0p8,1777018572.855171,bid,0.9847890384499307,False,,cancel_aggressive,0.2462306022644043,1,0,0
18bps,A_current,1777018572.856172,ask,0.9847890384499307,False,,cancel_aggressive,0.24522948265075684,1,0,0
18bps,B_tfi_0p6,1777018572.856172,ask,0.9847890384499307,True,tfi>=0.6,cancel_aggressive,0.24522948265075684,1,0,0
18bps,C_tfi_0p7,1777018572.856172,ask,0.9847890384499307,True,tfi>=0.7,cancel_aggressive,0.24522948265075684,1,0,0
18bps,D_tfi_0p8,1777018572.856172,ask,0.9847890384499307,True,tfi>=0.8,cancel_aggressive,0.24522948265075684,1,0,0
18bps,A_current,1777018573.3473864,bid,0.992755706318634,False,,cancel_aggressive,0.2541501522064209,1,0,0
18bps,B_tfi_0p6,1777018573.3473864,bid,0.992755706318634,False,,cancel_aggressive,0.2541501522064209,1,0,0
18bps,C_tfi_0p7,1777018573.3473864,bid,0.992755706318634,False,,cancel_aggressive,0.2541501522064209,1,0,0
18bps,D_tfi_0p8,1777018573.3473864,bid,0.992755706318634,False,,cancel_aggressive,0.2541501522064209,1,0,0
18bps,A_current,1777018573.3473864,ask,0.992755706318634,False,,cancel_aggressive,0.2541501522064209,1,0,0
