scenario,ts,reason,trade_side,trade_px,mid_perp,bid_px,ask_px,spread_bps,tfi,in_quote,quote_leg,quote_lifetime_sec
15bps,1777017778.1000412,cancel_aggressive,buy,2310.33,2310.4449999999997,2310.44,2310.45,0.04328170547129896,-0.6793893129770994,True,bid,0.24454188346862793
15bps,1777017778.3506203,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,-0.32530120481927727,False,,
15bps,1777017778.6027262,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,-0.32530120481927727,False,,
15bps,1777017778.880175,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,-0.32530120481927727,False,,
15bps,1777017779.402091,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,-0.32530120481927727,False,,
15bps,1777017779.9426746,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017780.1912863,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017780.4396348,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017780.6905317,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017780.9375925,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017781.6716135,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017781.9237545,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017782.420635,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017782.6840668,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017782.9281034,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,False,,
15bps,1777017783.4197755,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017783.6856349,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017783.9513156,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017784.201953,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017784.4632928,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017784.7271144,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017784.9940753,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017785.2578917,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017785.5025556,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017785.7554617,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017786.0026176,cancel_aggressive,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,False,,
15bps,1777017786.2655394,cancel_aggressive,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.31640625,False,,
15bps,1777017786.4976122,cancel_aggressive,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.31640625,False,,
15bps,1777017786.763029,cancel_aggressive,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.31640625,False,,
15bps,1777017787.7591174,cancel_aggressive,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.6579804560260587,False,,
15bps,1777017788.0021255,cancel_aggressive,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.6579804560260587,False,,
15bps,1777017788.50218,cancel_aggressive,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.6579804560260587,False,,
15bps,1777017788.7529151,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017789.0027926,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017789.252314,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017789.5012698,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017789.7674825,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017790.7612162,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017791.002951,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017791.2605991,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017791.5013587,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017791.7593071,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017792.0029066,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,False,,
15bps,1777017792.2735624,cancel_aggressive,buy,2310.69,2310.685,2310.68,2310.69,0.043277210005770055,0.961734693877551,False,,
15bps,1777017792.505481,cancel_aggressive,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.9604843849585722,False,,
15bps,1777017792.7726686,cancel_aggressive,sell,2310.44,2310.435,2310.43,2310.44,0.043281892804680845,0.9117464263517713,False,,
15bps,1777017793.001749,cancel_aggressive,sell,2310.44,2310.435,2310.43,2310.44,0.043281892804680845,0.9117464263517713,False,,
15bps,1777017793.252542,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017793.5019171,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017793.766814,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017794.0018609,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017794.263819,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017794.5007944,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017794.7626438,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017795.0026653,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017795.2612607,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017795.50226,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017795.7600343,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017796.0021045,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017796.2573948,cancel_aggressive,sell,2310.3,2310.255,2310.25,2310.26,0.04328526504744402,-0.9058823529411765,False,,
15bps,1777017796.5016375,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-0.9774647887323944,False,,
15bps,1777017796.7549393,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-0.9774647887323944,False,,
15bps,1777017797.001199,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-0.9774647887323944,False,,
15bps,1777017797.2566419,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-0.9774647887323944,False,,
15bps,1777017797.5021732,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-0.9774647887323944,False,,
15bps,1777017798.0017264,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-0.9774647887323944,False,,
15bps,1777017798.2559013,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-0.9774647887323944,False,,
15bps,1777017798.7556982,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-1.0,False,,
15bps,1777017799.0021694,cancel_aggressive,buy,2310.26,2310.255,2310.25,2310.26,0.04328526504744402,-0.810246679316888,False,,
15bps,1777017799.2544029,cancel_aggressive,buy,2310.26,2310.255,2310.25,2310.26,0.04328526504744402,-0.810246679316888,False,,
15bps,1777017799.5020566,cancel_aggressive,buy,2310.26,2310.255,2310.25,2310.26,0.04328526504744402,-0.810246679316888,False,,
15bps,1777017799.7525325,cancel_aggressive,buy,2310.26,2310.255,2310.25,2310.26,0.04328526504744402,-0.810246679316888,False,,
15bps,1777017800.001581,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-0.8816568047337278,False,,
15bps,1777017800.2664616,cancel_aggressive,sell,2310.25,2310.255,2310.25,2310.26,0.04328526504744402,-0.8816568047337278,False,,
15bps,1777017800.5024166,cancel_aggressive,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,-0.11111111111111124,False,,
15bps,1777017800.762778,cancel_aggressive,buy,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.11111111111111124,False,,
15bps,1777017801.003271,cancel_aggressive,buy,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.11111111111111124,False,,
15bps,1777017801.2469265,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,False,,
15bps,1777017801.5139413,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,False,,
15bps,1777017801.7793183,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,False,,
15bps,1777017802.0434682,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,False,,
15bps,1777017802.3026762,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,False,,
15bps,1777017802.5582368,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.12215320910973097,False,,
15bps,1777017803.3512225,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.022666154437188064,False,,
15bps,1777017803.60216,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.022666154437188064,False,,
15bps,1777017803.8813968,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.022666154437188064,False,,
15bps,1777017804.3946378,cancel_aggressive,sell,2310.58,2310.585,2310.58,2310.59,0.04327908300373402,-0.022666154437188064,False,,
15bps,1777017804.6426997,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017804.892349,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017805.1549928,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017805.4023077,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017805.657326,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017805.9020875,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017806.159913,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017806.403092,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017806.9026086,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017807.1726625,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017807.4287288,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017807.9356751,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017808.2013109,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017808.7020285,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017808.9659698,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017809.233234,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017809.7503436,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017810.0017319,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017810.2666788,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017810.5018344,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017810.7500503,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017811.0038023,cancel_aggressive,sell,2310.32,2310.3050000000003,2310.3,2310.31,0.043284328258665114,0.019573727707698975,False,,
15bps,1777017811.7637858,cancel_aggressive,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,False,,
15bps,1777017812.002873,cancel_aggressive,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,False,,
15bps,1777017812.2623987,cancel_aggressive,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,False,,
15bps,1777017812.4972265,cancel_aggressive,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,False,,
15bps,1777017812.7627568,cancel_aggressive,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,False,,
15bps,1777017813.2599797,cancel_aggressive,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,False,,
15bps,1777017813.501956,cancel_aggressive,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,False,,
15bps,1777017814.2744706,cancel_aggressive,buy,2310.31,2310.3050000000003,2310.3,2310.31,0.043284328258665114,1.0,False,,
