group_type,group_value,count,mean_trade_age_ms,median_trade_age_ms,p90_trade_age_ms,mean_proximity_to_active_quote_bps,median_proximity_to_active_quote_bps,p90_proximity_to_active_quote_bps,mean_proximity_to_best_bps,median_proximity_to_best_bps,danger_match_count,danger_match_ratio,valid_candidate_count,valid_candidate_ratio,quote_fade_nearby_count,quote_fade_nearby_ratio,mean_tfi,median_tfi
overall,all,664,3141.094558569322,1827.81183719635,8620.377182960514,30.405708943614002,35.74212277006541,37.53434869669929,0.037935027839854814,0.0,664,1.0,0,0.0,562,0.8463855421686747,0.31506035737666777,0.8593749999999999
valid_active_cancel_candidate,False,664,3141.094558569322,1827.81183719635,8620.377182960514,30.405708943614002,35.74212277006541,37.53434869669929,0.037935027839854814,0.0,664,1.0,0,0.0,562,0.8463855421686747,0.31506035737666777,0.8593749999999999
trade_side,buy,408,2904.502991367789,1569.8866844177246,7954.613828659059,31.94244228653618,35.74627915638869,36.735414576165475,0.043530953639379866,0.0,408,1.0,0,0.0,343,0.8406862745098039,0.7149520094424784,1.0
trade_side,sell,256,3518.162368796766,2313.4132623672485,9050.477147102356,27.956540178331707,20.249309547987437,38.117297038686615,0.0290165210968619,0.0,256,1.0,0,0.0,219,0.85546875,-0.3222669631032185,-0.7241379310344828
danger_direction_match,True,664,3141.094558569322,1827.81183719635,8620.377182960514,30.405708943614002,35.74212277006541,37.53434869669929,0.037935027839854814,0.0,664,1.0,0,0.0,562,0.8463855421686747,0.31506035737666777,0.8593749999999999
quote_fade_nearby,False,102,2731.7388384949927,1503.8152933120728,8358.223772048954,29.064541763483202,35.31134269227574,37.44328111285209,0.04107827567440662,0.0,102,1.0,0,0.0,0,0.0,0.20497602744125556,0.6763425253991291
quote_fade_nearby,True,562,3215.39043658993,1905.7546854019165,8635.232806205751,30.649123627552306,35.78957823329131,37.66660359162272,0.03736454513678673,0.0,562,1.0,0,0.0,562,1.0,0.33504007562117305,0.8676470588235292
