group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,4608,,,,,,,,,,,2905,1703,0.10774526678141136,0.08514386376981797,0.03760849521140538,0.0032740357403594966
end_reason,quote_fade,all,1s,2905,123,67,2715,0.0423407917383821,0.02306368330464716,0.9345955249569707,0.00877254374670751,-0.0,0.4571237578859838,0.25820302963256836,,,,,,
end_reason,quote_fade,all,3s,2905,313,182,2410,0.10774526678141136,0.06265060240963856,0.8296041308089501,0.03760849521140538,-0.0,0.4571237578859838,0.25820302963256836,,,,,,
end_reason,quote_fade,all,5s,2905,484,315,2106,0.16660929432013769,0.10843373493975904,0.7249569707401032,0.05921386801521903,-0.0,0.4571237578859838,0.25820302963256836,,,,,,
end_reason,tfi_fade,all,1s,1703,60,55,1588,0.03523194362889019,0.03229594832648268,0.9324721080446271,0.0033598761287678886,-0.0,0.2611927123750159,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,3s,1703,145,162,1396,0.08514386376981797,0.09512624779800352,0.8197298884321785,0.0032740357403594966,-0.0,0.2611927123750159,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,5s,1703,225,244,1234,0.13211978860833823,0.1432765707574868,0.724603640634175,0.0030099716119396775,-0.0,0.2611927123750159,0.2533121109008789,,,,,,
leg,all,ask,1s,2353,95,63,2195,0.04037399065023375,0.026774330641733957,0.9328516787080323,0.008071593016398239,0.0,0.38730679853287747,0.25644469261169434,,,,,,
leg,all,ask,3s,2353,237,177,1939,0.10072248193795155,0.07522311942201446,0.824054398640034,0.027195956828065186,0.0,0.38730679853287747,0.25644469261169434,,,,,,
leg,all,ask,5s,2353,365,283,1705,0.15512112197195072,0.12027199320017,0.7246068848278793,0.042438788825980345,0.0,0.38730679853287747,0.25644469261169434,,,,,,
leg,all,bid,1s,2255,88,59,2108,0.03902439024390244,0.02616407982261641,0.9348115299334812,0.005416252888643909,0.0,0.3820056802153323,0.25678586959838867,,,,,,
leg,all,bid,3s,2255,221,167,1867,0.09800443458980045,0.07405764966740576,0.8279379157427937,0.022551665286409294,0.0,0.3820056802153323,0.25678586959838867,,,,,,
leg,all,bid,5s,2255,344,276,1635,0.152549889135255,0.12239467849223946,0.7250554323725056,0.0342979377737041,-0.0,0.3820056802153323,0.25678586959838867,,,,,,
end_reason_leg,quote_fade,ask,1s,1479,63,34,1382,0.04259634888438134,0.022988505747126436,0.9344151453684922,0.009520256301200798,-0.0,0.462075877302478,0.25820302963256836,,,,,,
end_reason_leg,quote_fade,ask,3s,1479,160,93,1226,0.10818120351588911,0.06288032454361055,0.8289384719405003,0.03836556847508144,0.0,0.462075877302478,0.25820302963256836,,,,,,
end_reason_leg,quote_fade,ask,5s,1479,247,160,1072,0.16700473292765383,0.10818120351588911,0.7248140635564571,0.05981623505682226,0.0,0.462075877302478,0.25820302963256836,,,,,,
end_reason_leg,quote_fade,bid,1s,1426,60,33,1333,0.04207573632538569,0.02314165497896213,0.9347826086956522,0.007997041034158048,0.0,0.4519875835402651,0.25835323333740234,,,,,,
end_reason_leg,quote_fade,bid,3s,1426,153,89,1184,0.10729312762973352,0.06241234221598878,0.8302945301542777,0.036823264135115455,0.0,0.4519875835402651,0.25835323333740234,,,,,,
end_reason_leg,quote_fade,bid,5s,1426,237,155,1034,0.1661991584852735,0.10869565217391304,0.7251051893408135,0.058589081413780615,-0.0,0.4519875835402651,0.25835323333740234,,,,,,
end_reason_leg,tfi_fade,ask,1s,874,32,29,813,0.036613272311212815,0.03318077803203661,0.9302059496567505,0.0056201364966923005,0.0,0.2607810920108647,0.2532484531402588,,,,,,
end_reason_leg,tfi_fade,ask,3s,874,77,84,713,0.08810068649885583,0.09610983981693363,0.8157894736842105,0.008285663570000996,0.0,0.2607810920108647,0.2532484531402588,,,,,,
end_reason_leg,tfi_fade,ask,5s,874,118,123,633,0.13501144164759726,0.14073226544622425,0.7242562929061785,0.013004742859290444,0.0,0.2607810920108647,0.2532484531402588,,,,,,
end_reason_leg,tfi_fade,bid,1s,829,28,26,775,0.033775633293124246,0.031363088057901084,0.9348612786489746,0.000976923702270979,0.0,0.26162667642600285,0.2536773681640625,,,,,,
end_reason_leg,tfi_fade,bid,3s,829,68,78,683,0.08202653799758745,0.09408926417370325,0.8238841978287093,-0.0020099631669799147,0.0,0.26162667642600285,0.2536773681640625,,,,,,
end_reason_leg,tfi_fade,bid,5s,829,107,121,601,0.12907117008443908,0.14595898673100122,0.7249698431845597,-0.007528650549716784,-0.0,0.26162667642600285,0.2536773681640625,,,,,,
