group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,7739,,,,,,,,,,,5494,2245,0.13596650891882053,0.09175946547884187,0.04279671838618147,0.03062367775671337
end_reason,quote_fade,all,1s,5494,306,157,5031,0.05569712413542046,0.028576629049872588,0.9157262468147069,0.018970782985042733,-0.0,0.8919782392493499,0.2636876106262207,,,,,,
end_reason,quote_fade,all,3s,5494,747,410,4337,0.13596650891882053,0.07462686567164178,0.7894066254095377,0.04279671838618147,-0.0,0.8919782392493499,0.2636876106262207,,,,,,
end_reason,quote_fade,all,5s,5494,1081,674,3739,0.1967601019293775,0.12267928649435748,0.680560611576265,0.05749696320925407,-0.0,0.8919782392493499,0.2636876106262207,,,,,,
end_reason,tfi_fade,all,1s,2245,79,74,2092,0.03518930957683741,0.03296213808463252,0.93184855233853,0.015648052774595425,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,3s,2245,206,209,1830,0.09175946547884187,0.0930957683741648,0.8151447661469933,0.03062367775671337,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,5s,2245,308,324,1613,0.13719376391982183,0.1443207126948775,0.7184855233853007,0.02114721927603748,0.0,0.2610534421585185,0.2533121109008789,,,,,,
leg,all,ask,1s,3999,206,122,3671,0.051512878219554886,0.030507626906726683,0.9179794948737184,0.021068735075114888,-0.0,0.7466672083293536,0.260664701461792,,,,,,
leg,all,ask,3s,3999,502,326,3171,0.12553138284571141,0.08152038009502376,0.7929482370592649,0.03977488188836612,0.0,0.7466672083293536,0.260664701461792,,,,,,
leg,all,ask,5s,3999,729,520,2750,0.18229557389347337,0.13003250812703177,0.6876719179794949,0.047998577968735495,-0.0,0.7466672083293536,0.260664701461792,,,,,,
leg,all,bid,1s,3740,179,109,3452,0.04786096256684492,0.029144385026737968,0.9229946524064171,0.014733018351178389,0.0,0.6686286786023308,0.26072824001312256,,,,,,
leg,all,bid,3s,3740,451,293,2996,0.12058823529411765,0.07834224598930481,0.8010695187165775,0.03872074189998032,0.0,0.6686286786023308,0.26072824001312256,,,,,,
leg,all,bid,5s,3740,660,478,2602,0.17647058823529413,0.12780748663101604,0.6957219251336898,0.04583355878325483,0.0,0.6686286786023308,0.26072824001312256,,,,,,
end_reason_leg,quote_fade,ask,1s,2842,163,83,2596,0.057353976073187894,0.02920478536242083,0.9134412385643913,0.022310758656096354,-0.0,0.9444867579723898,0.2640726566314697,,,,,,
end_reason_leg,quote_fade,ask,3s,2842,392,217,2233,0.13793103448275862,0.07635467980295567,0.7857142857142857,0.0417064619926971,0.0,0.9444867579723898,0.2640726566314697,,,,,,
end_reason_leg,quote_fade,ask,5s,2842,567,355,1920,0.19950738916256158,0.12491203377902885,0.6755805770584096,0.05552629523370576,0.0,0.9444867579723898,0.2640726566314697,,,,,,
end_reason_leg,quote_fade,bid,1s,2652,143,74,2435,0.05392156862745098,0.02790346907993967,0.9181749622926093,0.015391517955957416,0.0,0.8357077979933623,0.26332414150238037,,,,,,
end_reason_leg,quote_fade,bid,3s,2652,355,193,2104,0.13386123680241327,0.07277526395173455,0.7933634992458521,0.04396508515476442,0.0,0.8357077979933623,0.26332414150238037,,,,,,
end_reason_leg,quote_fade,bid,5s,2652,514,319,1819,0.193815987933635,0.12028657616892911,0.6858974358974359,0.0596088178044684,0.0,0.8357077979933623,0.26332414150238037,,,,,,
end_reason_leg,tfi_fade,ask,1s,1157,43,39,1075,0.037165082108902334,0.033707865168539325,0.9291270527225584,0.018017887177838046,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,3s,1157,110,109,938,0.09507346585998272,0.09420916162489196,0.8107173725151253,0.03503024000720021,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,5s,1157,162,165,830,0.14001728608470182,0.14261019878997408,0.7173725151253241,0.02950784982090001,0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,bid,1s,1088,36,35,1017,0.03308823529411765,0.03216911764705882,0.9347426470588235,0.013127925564529514,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,3s,1088,96,100,892,0.08823529411764706,0.09191176470588236,0.8198529411764706,0.02593765521644382,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,5s,1088,146,159,783,0.13419117647058823,0.14613970588235295,0.7196691176470589,0.012256364919046692,0.0,0.2613733250866918,0.2534564733505249,,,,,,
